run_id,agent_subtype,repository,total_tasks,success_count,success_rate,clean_count,clean_rate,pathological_count,pathological_rate,instant_edit_count,instant_edit_rate,avg_duration_s,avg_commits,avg_violations,max_commits,max_violations
sglang_claude_sonnet45-c0645fb7,TRAE-Bedrock,SGLang,80,72,90.0,45,56.25,0,0.0,72,90.0,365.75438469350337,1.2125,0.6,3,30
sglang_core-389be848,Codex,SGLang,80,80,100.0,77,96.25,0,0.0,0,0.0,185.709174272418,1.025,0.05,2,2
sglang_core-ae58875a,TRAE-GPT,SGLang,80,29,36.25,24,30.0,0,0.0,0,0.0,753.8851053267717,0.425,0.425,2,30
sglang_core-bd68ff67,TRAE-GPT,SGLang,51,43,84.31372549019608,35,68.62745098039215,0,0.0,0,0.0,1250.3441991899529,0.9803921568627451,0.13725490196078433,2,1
vllm_claude_sonnet45-0a51aaa8,TRAE-Bedrock,vLLM,99,17,17.17171717171717,17,17.17171717171717,0,0.0,0,0.0,248.7038623323344,0.1717171717171717,0.0,1,0
vllm_claude_sonnet45_retry-5d58acda,TRAE-Bedrock,vLLM,82,37,45.1219512195122,37,45.1219512195122,0,0.0,0,0.0,394.15716901348856,0.45121951219512196,0.0,1,0
vllm_core-84ca0ad4,TRAE-GPT,vLLM,44,0,0.0,0,0.0,0,0.0,1,2.272727272727273,1.6046498526226392,0.0,0.0,0,0
vllm_core-8e54a51a,TRAE-GPT,vLLM,32,0,0.0,0,0.0,0,0.0,0,0.0,1.8544259518384933,0.0,0.0,0,0
vllm_core-9641716f,TRAE-GPT,vLLM,60,56,93.33333333333333,48,80.0,0,0.0,0,0.0,1201.359507759412,1.15,0.1,6,1
vllm_core-a40b2039,TRAE-GPT,vLLM,49,31,63.26530612244898,13,26.53061224489796,1,2.0408163265306123,2,4.081632653061225,1191.9943823911706,39.3469387755102,46.44897959183673,1878,2260
vllm_core-aed20220,TRAE-GPT,vLLM,32,0,0.0,0,0.0,0,0.0,1,3.125,1.8899085149168968,0.0,0.0,0,0
vllm_core-beffe4cd,TRAE-GPT,vLLM,49,32,65.3061224489796,8,16.3265306122449,1,2.0408163265306123,2,4.081632653061225,1193.8234832335493,39.57142857142857,46.55102040816327,1878,2260
vllm_core_codex-90a1c13f,Codex,vLLM,99,99,100.0,38,38.38383838383838,60,60.60606060606061,59,59.59595959595959,187.69380559102453,805.3535353535353,1141.4242424242425,7755,2970
