task_id,task_number,status,duration_s,returncode,time_to_first_edit_s,commit_count,patch_size_loc,changed_files_count,violations_count,pre_commit,human_commit,success,loc_per_minute,instant_edit,category
vllm_core,2,success,204.90182280540466,0,184.5428249835968,1,12,3,0,88f6ba3281f727d5641d362476ae68562b666081,0d243f2a54fbd1c56da8a571f0899c30b6aba5d9,True,3.513877964296024,False,clean_success
vllm_core,9,success,101.74652671813965,0,83.23217368125916,1,13,1,0,0032903a5bb7c7c655f52f4efdfcc221947e9ca8,296f927f2493908984707354e3cc5d7b2e41650b,True,7.666109351926796,False,clean_success
vllm_core,10,success,115.25847959518433,0,103.29196095466614,1,37,1,0,f728ab8e3578c22b42ed53e51b5e8ec35328d8b9,299ebb62b269ce167eb1c71b5e39a1dc1f65ce1c,True,19.26105574008244,False,clean_success
vllm_core,11,success,163.76050972938538,0,149.3996651172638,1,23,2,0,36fb68f94792a8cec8df5b58bab7ab4d4d6158b4,2a052011ca473a9dc8160f3daa1f5f63a2ad1fe3,True,8.426940061926121,False,clean_success
vllm_core,12,success,284.82608675956726,0,268.7390615940094,1,78,3,0,029c71de11bc3bcf84a1b3cf9d91e79ab6949799,2deb029d115dadd012ce5ea70487a207cb025493,True,16.431079235907802,False,clean_success
vllm_core,13,success,148.52488112449646,0,134.38616704940796,1,17,1,0,95baec828f3ee046074dace1d88202a920b7dc15,2f1928354903ae0c6edfe76cc90081eb513ead2c,True,6.8675362153295785,False,clean_success
vllm_core,14,success,246.90538549423218,0,230.65707969665527,1,36,3,0,a4d577b37944cbfa1bc62e4869667d1e2739d62a,30172b4947c52890b808c6da3a6c7580f55cbb74,True,8.748290344806831,False,clean_success
vllm_core,15,success,220.13061332702637,0,205.5742723941803,1,57,3,0,3cd91dc9555e6f10e55f23d37782c65b0366f7cf,3092375e274e9e003961e600e10a6192d33ceaa0,True,15.536230732793367,False,clean_success
vllm_core,16,success,191.50046610832214,0,176.50000095367432,1,73,4,0,a732900efc4eb0d4393e3885d5df8ef3516d4834,310aca88c984983189a57f1b72e3b1dde89fb92f,True,22.87200699304019,False,clean_success
vllm_core,17,success,112.25824689865112,0,98.26888108253479,1,15,2,0,4001ea126692d9c4e6872936a791a1999c826156,3127e975fb9417d10513e25b80820870f594c627,True,8.017228353944786,False,clean_success
vllm_core,18,success,203.28381824493408,0,185.49505972862244,1,118,1,0,54600709b6d419fb243ce718a48ab7d40f5c3eb7,3476ed0809ec91a3457da0cb90543133a4f4b519,True,34.82815337258865,False,clean_success
vllm_core,19,success,166.9321587085724,0,157.42757201194763,1,92,3,0,733e7c9e95f5b066ac420b00701eef7ea164a79e,35fad35a485eac9195c510731ba4a9d297dfd963,True,33.06732532966719,False,clean_success
vllm_core,20,success,515.1231503486633,0,497.1712703704834,1,47,2,0,ebce310b7433e050086f52ca48571807df467f50,379da6dcb5f5d062d0452b2fc23291e5113dcf04,True,5.474419074528627,False,clean_success
vllm_core,21,success,152.13574314117432,0,118.31403708457947,1,36,1,0,64172a976c8d975b3aec946f1675716d2532d94f,3a243095e5e7b655b63ab08fbd5936cb40850415,True,14.197846971409135,False,clean_success
vllm_core,22,success,110.41821146011353,0,97.26199507713318,1,28,2,0,edc4fa31888b4a41060acb7b16250540f051ad59,3b61cb450d899dc423feb264c297d4d18d701678,True,15.214881474573312,False,clean_success
